Key,Category,QuestionNumber,matchOrnomatch,Difficulty,verdict,ResponseTime,routineStart,routineStamp,routineEnd,Cat2FeedbackTime
1spl1,1,spl1,match,Easy,CORRECT,10.369815700003528,1680003249.7893205,"28/03/2023, 17:04:09",1680003260.159136,
1spl2,1,spl2,nomatch,Easy,CORRECT,7.913991500012344,1680003260.2791028,"28/03/2023, 17:04:20",1680003268.1930945,
1Item1,1,Item1,match,Easy,CORRECT,7.654472000009264,1680003268.2248054,"28/03/2023, 17:04:28",1680003275.8792777,
1Item2,1,Item2,match,Easy,CORRECT,14.597205400001258,1680003275.9004655,"28/03/2023, 17:04:35",1680003290.497671,
1Item3,1,Item3,match,Easy,CORRECT,16.47656550000829,1680003290.5223696,"28/03/2023, 17:04:50",1680003306.9989352,
1Item4,1,Item4,match,Medium,CORRECT,17.546051800003625,1680003307.02309,"28/03/2023, 17:05:07",1680003324.5691416,
1Item5,1,Item5,nomatch,Medium,CORRECT,26.0444800999976,1680003324.5863173,"28/03/2023, 17:05:24",1680003350.6307974,
1Item6,1,Item6,match,Medium,CORRECT,8.765434700006153,1680003350.6459908,"28/03/2023, 17:05:50",1680003359.4114256,
1Item7,1,Item7,match,Difficult,CORRECT,8.89840630000981,1680003359.4332583,"28/03/2023, 17:05:59",1680003368.3316646,
1Item8,1,Item8,nomatch,Difficult,INCORRECT,16.455399600003147,1680003368.345868,"28/03/2023, 17:06:08",1680003384.8012676,
1Item9,1,Item9,match,Difficult,INCORRECT,9.659429499995897,1680003384.8213978,"28/03/2023, 17:06:24",1680003394.480827,
1Item10,1,Item10,nomatch,Difficult,CORRECT,21.04241419999744,1680003394.496188,"28/03/2023, 17:06:34",1680003415.538602,
2spl1,2,spl1,match,Easy,CORRECT,6.252160399992135,1680003478.6471725,"28/03/2023, 17:07:58",1680003484.8993328,
2spl2,2,spl2,nomatch,Easy,CORRECT,7.533956400002353,1680003486.6734822,"28/03/2023, 17:08:06",1680003494.2074385,
2Item1,2,Item1,match,Easy,CORRECT,4.509170100005576,1680003495.4188228,"28/03/2023, 17:08:15",1680003499.9279928,1.0262118999962695
2Item2,2,Item2,match,Easy,CORRECT,3.0500425999925938,1680003500.9962742,"28/03/2023, 17:08:20",1680003504.0463169,0.9966734000045108
2Item3,2,Item3,match,Easy,CORRECT,5.445206499993219,1680003505.08189,"28/03/2023, 17:08:25",1680003510.5270965,1.1498813000071095
2Item4,2,Item4,nomatch,Medium,CORRECT,11.453220900002634,1680003511.7029796,"28/03/2023, 17:08:31",1680003523.1562004,0.8102900999947451
2Item5,2,Item5,match,Medium,CORRECT,7.448545399995055,1680003524.0001438,"28/03/2023, 17:08:44",1680003531.4486892,1.0047801999899093
2Item6,2,Item6,match,Medium,INCORRECT,12.24108750000596,1680003532.4827454,"28/03/2023, 17:08:52",1680003544.7238328,1.0837218999949982
2Item7,2,Item7,match,Difficult,INCORRECT,34.899006499996176,1680003545.8375604,"28/03/2023, 17:09:05",1680003580.736567,0.7431745000067167
2Item8,2,Item8,nomatch,Difficult,CORRECT,8.483289900003001,1680003581.5151565,"28/03/2023, 17:09:41",1680003589.9984465,0.988319900003262
2Item9,2,Item9,nomatch,Difficult,INCORRECT,19.09138410000014,1680003591.0252693,"28/03/2023, 17:09:51",1680003610.1166534,0.9882383999938612
2Item10,2,Item10,match,Difficult,CORRECT,14.797885799998769,1680003611.1336284,"28/03/2023, 17:10:11",1680003625.9315145,0.7595641999942018
3spl1,3,spl1,match,Easy,CORRECT,3.337743699987186,1680003673.4726777,"28/03/2023, 17:11:13",1680003676.8104217,
3spl2,3,spl2,nomatch,Easy,CORRECT,2.7742399999988265,1680003676.8365617,"28/03/2023, 17:11:16",1680003679.6108017,
3Item15,3,Item15,nomatch,Difficult,INCORRECT,8.12838219999685,1680003679.634276,"28/03/2023, 17:11:19",1680003687.762658,
3Item2,3,Item2,match,Easy,CORRECT,2.99982280000404,1680003687.7819774,"28/03/2023, 17:11:27",1680003690.7818005,
3Item5,3,Item5,match,Easy,CORRECT,3.311917500002892,1680003690.800899,"28/03/2023, 17:11:30",1680003694.1128166,
3Item12,3,Item12,match,Medium,CORRECT,8.014905899995938,1680003694.13405,"28/03/2023, 17:11:34",1680003702.1489558,
3Item6,3,Item6,match,Easy,CORRECT,3.667333499994129,1680003702.164358,"28/03/2023, 17:11:42",1680003705.8316915,
3Item8,3,Item8,nomatch,Medium,CORRECT,11.708548399998108,1680003705.8493102,"28/03/2023, 17:11:45",1680003717.5578585,
3Item7,3,Item7,match,Medium,CORRECT,6.712749300000724,1680003717.571763,"28/03/2023, 17:11:57",1680003724.2845123,
3Item9,3,Item9,nomatch,Medium,CORRECT,22.003141799999867,1680003724.2984047,"28/03/2023, 17:12:04",1680003746.3015466,
3Item17,3,Item17,match,Difficult,INCORRECT,11.119301499988069,1680003746.3221033,"28/03/2023, 17:12:26",1680003757.4414048,
3Item19,3,Item19,nomatch,Difficult,CORRECT,12.689455400002773,1680003757.4656482,"28/03/2023, 17:12:37",1680003770.1551037,
3Item11,3,Item11,match,Medium,CORRECT,10.830572899998517,1680003770.176345,"28/03/2023, 17:12:50",1680003781.006918,
3Item4,3,Item4,match,Easy,CORRECT,10.093456700007664,1680003781.0269625,"28/03/2023, 17:13:01",1680003791.1204193,
3Item13,3,Item13,match,Difficult,CORRECT,7.794766100007109,1680003791.1398437,"28/03/2023, 17:13:11",1680003798.93461,
3Item10,3,Item10,,,,1.0,1680003798.93461,"28/03/2023, 07:43:18",1680003799.93461,
